"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOANC99	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
32971																																																																																						44702	3154	3154	10.7386%	15.9936%	14.8652%	41548	279499	386904	-3640	0			7.9936%			0				41548	386904								0	0	0		0		0	14.8652%	1	0	37908	0	0	0	-3640	0	0	0		0	41548	0	0	41548	0	0	0	0	0	0	0	0	0	3154	0	0	0			
33147																																																																																						43236	4473	4473	9.2900%	12.1389%	10.8831%	38763	356177	417256	-834	0			4.1389%			0				26788	417256								0	0	0		0		11975	10.8831%	1	0	37929	0	0	0	-834	0	0	0		0	38763	0	0	38763	0	0	0	0	0	0	0	0	0	4473	0	0	0			
33259																																																																																						123071	11498	11498	10.3211%	13.3851%	12.1346%	111573	919463	1081020	-6351	0			5.3851%			0				51573	1081020								0	0	0		0		60000	12.1346%	1	0	105222	0	0	0	-6351	0	0	0		0	111573	0	0	111573	0	0	0	0	0	0	0	0	0	11498	0	0	0			
33370																																																																																				27118	0				11.3956%			3116		27344	0	0						0	0	0	0	3389	27617	0	0.0000%	0	0	0	0	0.0000%	0	0	0	0	1		0		1	0	3389	0	0	273	0	0	0	0		0	3116	0	0	3116	0	0	0	0	0	0						273	0	1536		
33839																																																																																						5331	119	119	11.7472%	23.7028%	23.1737%	5212	22491	44368	-165	0			15.7028%			0				4462	44368								0	0	0		0		750	23.1737%	1	0	5047	0	0	0	-165	0	0	0		0	5212	0	0	5212	0	0	0	0	0	0	0	0	0	119	0	0	0			
33857																																																																																						140206	13811	13811	9.7688%	11.5449%	10.4077%	126395	1214436	1293864	-9398	0			3.5449%			0				60358	1309077								0	0	0		0		81250	10.4077%	1	0	132210	15213	0	0	-9398	0	0	0		0	126395	0	0	126395	0	0	0	0	0	0	0	0	0	13811	0	15213	0			
34434																																																																																						55958	3384	3384	11.3409%	16.2389%	15.2569%	52574	344592	463578	-4020	0			8.2389%			0				28777	464181								0	0	0		0		24400	15.2569%	1	0	49157	603	0	0	-4020	0	0	0		0	52574	0	0	52574	0	0	0	0	0	0	0	0	0	3384	0	603	0			
34537																																																																																						1660618	131979	131979	10.6147%	15.2671%	14.0537%	1528639	10877128	14401174	-125170	0			7.2671%			2				474292	15194441								0	0	0		0		1847609	14.0536%	1	0	2196731	736038	54094	3135	-125403	234	0	0		0	1528633	0	0	1528633	0	0	6	6	0	6	0	0	0	131979	0	793267	0			
34555																																																																																				367131	0				10.2550%			36837		359210	-2639	0						0	0	0	0	35301	359974	0	0.0000%	32346	0	716	33062	9.0055%	0	0	0	0	1		2300		1	0	34962	764	0	0	-2639	0	0	0		0	36837	0	0	36837	0	0	0	0	0	0						764	0	3412		
34742																																																																																						66551	5035	5035	9.0954%	12.9048%	11.9285%	61516	515707	676340	-1955	0			4.9048%			0				44559	676910								0	0	0		0		17527	11.9285%	1	0	60131	570	0	0	-1955	0	0	0		0	61516	0	0	61516	0	0	0	0	0	0	0	0	0	5035	0	570	0			
35057																																																																																						23645	2084	2084	9.4626%	14.2024%	12.9506%	21561	166486	227856	-596	0			6.2024%			0				14700	227856								0	0	0		0		6861	12.9506%	1	0	20965	0	0	0	-596	0	0	0		0	21561	0	0	21561	0	0	0	0	0	0	0	0	0	2084	0	0	0			
35301			19459000	171000	703000	6.2062%	16.3530%	15.7622%	18756000	118993240	302212000	-1390000	-193000	262726000	7.1390%	8.3530%						15373000	310740000												13333000	15.7622%	0	27316000	7136000	1122000	463000					-161000	0					0	0	0	0	0	0	532000	0	0	703000	0	8721000	0		19289000	1000	533000	18.2647%	17.7600%	105608000	2.5000%	17.7600%	0	18756000	0	0	0	0	0	0	18756000	533000																			0																	0				0																															
35646																																																																																						16845	581	581	14.1080%	22.1048%	21.3424%	16264	76205	115282	-1160	0			14.1048%			0				14114	115282								0	0	0		0		2150	21.3424%	1	0	15104	0	0	0	-1160	0	0	0		0	16264	0	0	16264	0	0	0	0	0	0	0	0	0	581	0	0	0			
35879																																																																																						20881	1178	1178	7.3891%	13.4520%	12.6931%	19703	155226	266649	-6537	0			5.4520%			0				17777	268594								0	0	0		0		3871	12.6931%	1	0	15111	0	0	1945	-2372	0	0	-4165		0	19703	0	0	19703	0	0	0	0	0	0	0	0	0	1178	0	1945	0			
36456																																																																																				118287	0				12.0161%			13986		116394	-3241	0						0	0	0	0	3537	116497	0	0.0000%	7173	0	0	7173	6.0641%	0	0	0	0	1		10552		1	0	10848	103	0	0	-3241	0	0	0		0	13986	0	0	13986	0	0	0	0	0	0						103	0	0		
36933																																																																																						45254	3963	3963	8.9549%	12.6411%	11.5341%	41291	357990	461100	-6578	0			4.6411%			0				25653	461100								0	0	0		0		15638	11.5341%	1	0	34713	0	0	0	-6578	0	0	0		0	41291	0	0	41291	0	0	0	0	0	0	0	0	0	3963	0	0	0			
37051																																																																																						12058	995	995	8.6577%	11.4393%	10.4953%	11063	105409	127782	-147	0			3.4393%			0				3571	132323								0	0	0		0		12033	10.4953%	1	0	15457	4207	334	0	-147	0	0	0		0	11063	0	0	11063	0	0	0	0	0	0	0	0	0	995	0	4541	0			
37341																																																																																				83580	0				12.5577%			10345		82380	-219	0						0	0	0	0	9445	82380	0	0.0000%	2497	0	0	2497	2.9876%	0	0	0	0	1		900		1	0	10126	0	0	0	-219	0	0	0		0	10345	0	0	10345	0	0	0	0	0	0						0	0	0		
37435																																																																																						280483	13303	13303	12.6122%	26.4918%	25.2353%	267180	1058753	2118424	-18531	0			18.4918%			0				209093	2121365								0	0	0		0		61028	25.2353%	1	0	251590	2941	0	0	-18531	0	0	0		0	267180	0	0	267180	0	0	0	0	0	0	0	0	0	13303	0	2941	0			
