"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOANC99	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
1669																																																																																				431055	0				12.2296%			53324		436024	-5328	0						0	0	0	0	51724	436024	0	0.0000%	19809	0	115	19924	4.6221%	0	0	0	0	1		1600		1	0	47996	0	0	0	-5328	0	0	0		0	53324	0	0	53324	0	0	0	0	0	0						0	0	0		
1856																																																																																				53158	0				12.9017%			6716		52055	-118	0						0	0	0	0	582	52153	0	0.0000%	3131	0	0	3131	5.8900%	0	0	0	0	1		6232		1	0	6696	98	0	0	-118	0	0	0		0	6716	0	0	6716	0	0	0	0	0	0						98	0	0		
2161																																																																																				390282	0				9.7844%			38128		389682	-11051	0						0	0	0	0	16652	389682	0	0.0000%	25289	0	303	25592	6.5573%	0	0	0	0	1		21476		1	0	27077	0	0	0	-11380	329	0	0		0	38128	0	0	38128	0	0	0	0	0	0						0	0	0		
2732																																																																																				710635	0				16.2721%			116123		713633	-632	0						0	0	0	0	111446	714745	0	0.0000%	75858	0	2017	77875	10.9585%	0	0	0	0	1		5789		1	0	116603	0	1112	0	-632	0	0	0		0	116123	0	0	116123	0	0	0	0	0	0						1112	0	3892		
2750																																																																																						9007	522	522	12.4435%	17.0123%	16.0264%	8485	52944	68188	-1102	0			9.0123%			0				874	68188								0	0	0		0		7611	16.0264%	1	0	7383	0	0	0	-1102	0	0	0		0	8485	0	0	8485	0	0	0	0	0	0	0	0	0	522	0	0	0			
3252																																																																																						43930	1805	1805	12.4580%	30.8151%	29.5490%	42125	142560	338137	-4087	0			22.8151%			0				41625	338137								0	0	0		0		500	29.5490%	1	0	38038	0	0	0	-4087	0	0	0		0	42125	0	0	42125	0	0	0	0	0	0	0	0	0	1805	0	0	0			
3458																																																																																						6638	598	598	7.7245%	12.5724%	11.4398%	6040	52798	78193	-1763	0			4.5724%			0				4839	78193								0	0	0		0		1201	11.4398%	1	0	4277	0	0	0	-1763	0	0	0		0	6040	0	0	6040	0	0	0	0	0	0	0	0	0	598	0	0	0			
3720																																																																																				389181	0				12.4616%			48361		388079	-6983	0						0	0	0	0	32669	388079	0	0.0000%	18940	0	193	19133	4.9162%	0	0	0	0	1		15692		1	0	41378	0	0	0	-6983	0	0	0		0	48361	0	0	48361	0	0	0	0	0	0						0	0	0		
3971																																																																																						143843	12285	12285	10.9845%	14.6508%	13.3996%	131558	981807	1197668	-14649	0			6.6508%			0				22169	1204207								0	0	0		0		115929	13.3996%	1	0	123449	4296	2244	0	-14649	0	0	0		0	131558	0	0	131558	0	0	0	0	0	0	0	0	0	12285	0	6539	0			
4156																																																																																						27252	2444	2444	9.1119%	13.9653%	12.7129%	24808	195141	272258	-5344	0			5.9653%			0				18734	274041								0	0	0		0		7857	12.7129%	1	0	21247	1783	0	0	-5344	0	0	0		0	24808	0	0	24808	0	0	0	0	0	0	0	0	0	2444	0	1783	0			
4231																																																																																				163037	0				14.6572%			23577		160856	-4210	0						0	0	0	0	10980	160859	0	0.0000%	7192	0	0	7192	4.4113%	0	0	0	0	1		12600		1	0	19370	0	0	3	-4210	0	0	0		0	23577	0	0	23577	0	0	0	0	0	0						3	0	1578		
5069																																																																																						237971	7032	7032	39.9886%	42.8607%	41.5942%	230939	555219	577512	283	0			34.8607%			0				222310	577512								0	0	0		0		8629	41.5942%	1	0	231222	0	0	0	283	0	0	0		0	230939	0	0	230939	0	0	0	0	0	0	0	0	0	7032	0	0	0			
5135																																																																																				624674	0				17.3384%			108564		626146	-536	0						0	0	0	0	84564	627188	0	0.0000%	72433	0	2488	74921	11.9936%	0	0	0	0	1		25042		1	0	109070	1042	0	0	-536	0	0	0		0	108564	0	0	108564	0	0	0	0	0	0						1042	0	0		
5210																																																																																						298587	17637	17637	11.5672%	16.3926%	15.4243%	280950	1821476	2428854	-46399	-3927			8.3926%			1				204714	2461828								0	0	0		0		113138	15.4243%	1	0	271453	35800	1102	0	-42472	0	-3927	0		0	280950	0	0	280950	0	0	0	0	0	0	0	0	0	17637	0	36901	0			
5461																																																																																						90755	6558	6558	10.3383%	17.3127%	16.0616%	84197	524212	814417	-22270	0			9.3127%			0				77941	814461								0	0	0		0		6300	16.0616%	1	0	61971	0	44	0	-4187	0	0	-18083		0	84197	0	0	84197	0	0	0	0	0	0	0	0	0	6558	0	44	0			
5751																																																																																				316432	0				13.2702%			41213		310567	-7185	0						0	0	0	0	32934	311640	0	0.0000%	34481	0	1028	35509	11.2217%	0	0	0	0	1		9352		1	0	35101	1073	0	0	-7185	0	0	0		0	41213	0	0	41213	0	0	0	0	0	0						1073	0	102		
6039																																																																																				482993	0				9.6477%			45635		473013	-355	0						0	0	0	0	14598	473013	0	0.0000%	48836	0	218	49054	10.1563%	0	0	0	0	1		31037		1	0	45280	0	0	0	-355	0	0	0		0	45635	0	0	45635	0	0	0	0	0	0						0	0	0		
6329																																																																																						190891	18746	18746	9.1042%	12.7786%	11.5237%	172145	1493831	1890834	-17117	0			4.7786%			0				130189	1893878								0	0	0		0		45000	11.5237%	1	0	158072	0	0	3044	-17117	0	0	0		0	172145	0	0	172145	0	0	0	0	0	0	0	0	0	18746	0	3044	0			
7009																																																																																						113944	0	0	20.1438%	33.5639%	33.5639%	113944	339484	565653	-1568	0			25.5639%			0				112892	565653								0	0	0		0		1052	33.5639%	1	0	112376	0	0	0	-1568	0	0	0		0	113944	0	0	113944	0	0	0	0	0	0	0	0	0	0	0	0	0			
7045																																																																																						28539	1120	1120	8.3596%	20.6542%	19.8437%	27419	138175	327993	-12570	0			12.6542%			0				24994	327993								0	0	0		0		2425	19.8437%	1	0	14849	0	0	0	-12570	0	0	0		0	27419	0	0	27419	0	0	0	0	0	0	0	0	0	1120	0	0	0			
7072																																																																																						42104	3118	3118	8.8491%	13.8521%	12.8263%	38986	303954	440567	-3894	0			5.8521%			0				41112	446753								0	0	0		0		4060	12.8263%	1	0	41278	5478	708	0	-3967	0	73	0		0	38986	0	0	38986	0	0	0	0	0	0	0	0	0	3118	0	6186	0			
7456																																																																																						13488	980	980	9.3890%	13.1007%	12.1489%	12508	102956	133220	-2065	0			5.1007%			0				5508	133220								0	0	0		0		7000	12.1489%	1	0	10443	0	0	0	-2065	0	0	0		0	12508	0	0	12508	0	0	0	0	0	0	0	0	0	980	0	0	0			
7634																																																																																				86642	0				13.2637%			11421		86107	-1677	0						0	0	0	0	3161	86107	0	0.0000%	997	0	0	997	1.1507%	0	0	0	0	1		8260		1	0	9744	0	0	0	-1677	0	0	0		0	11421	0	0	11421	0	0	0	0	0	0						0	0	1108		
8462																																																																																				190423	0				16.0656%			30671		190911	-7493	0						0	0	0	0	29971	190911	0	0.0000%	1054	0	495	1549	0.8135%	0	0	0	0	1		700		1	0	23178	0	0	0	-7493	0	0	0		0	30671	0	0	30671	0	0	0	0	0	0						0	0	5182		
8631																																																																																				73711	0				9.9216%			7414		74726	-1288	0						0	0	0	0	6114	74726	0	0.0000%	1890	0	160	2050	2.7811%	0	0	0	0	1		1300		1	0	6126	0	0	0	-1288	0	0	0		0	7414	0	0	7414	0	0	0	0	0	0						0	0	0		
9357																																																																																				503205	0				16.2652%			79804		490643	-1682	0						0	0	0	0	54072	521571	0	0.0000%	16399	0	1200	17599	3.4974%	0	0	0	0	1		56660		1	0	109050	28717	2211	0	-1682	0	0	0		0	79804	0	0	79804	0	0	0	0	0	0						30928	0	378560		
9553																																																																																						25721	1202	1202	10.6081%	14.5005%	13.8229%	24519	177380	231135	-5143	0			6.5005%			0				22419	231135								0	0	0		0		2100	13.8229%	1	0	19376	0	0	0	-5143	0	0	0		0	24519	0	0	24519	0	0	0	0	0	0	0	0	0	1202	0	0	0			
9807																																																																																						390864	28446	28446	13.7965%	17.1874%	15.9365%	362418	2274133	2626892	-7521	0			9.1874%			0				230146	2626892								0	0	0		0		132272	15.9365%	1	0	354897	0	0	0	-7521	0	0	0		0	362418	0	0	362418	0	0	0	0	0	0	0	0	0	28446	0	0	0			
9955																																																																																				213419	0				12.7996%			29101		227359	-3475	0						0	0	0	0	25968	227359	0	0.0000%	3899	0	8	3907	1.8307%	0	0	0	0	1		3133		1	0	25626	0	0	0	-3475	0	0	0		0	29101	0	0	29101	0	0	0	0	0	0						0	0	19336		
10250																																																																																						63665	4596	4596	8.4243%	14.5351%	13.4858%	59069	438009	701175	-28472	0			6.5351%			0				20319	701175								0	0	0		0		38750	13.4858%	1	0	30597	0	0	0	-18946	0	0	-9526		0	59069	0	0	59069	0	0	0	0	0	0	0	0	0	4596	0	0	0			
10849																																																																																				287982	0				10.9733%			31944		291106	-4756	0						0	0	0	0	17247	291800	0	0.0000%	18986	0	0	18986	6.5928%	0	0	0	0	1		15391		1	0	27882	694	0	0	-4756	0	0	0		0	31944	0	0	31944	0	0	0	0	0	0						694	0	0		
11145																																																																																						55073	3834	3834	11.5606%	17.0038%	15.8200%	51239	323887	443221	-13818	0			9.0038%			0				25689	443671								0	0	0		0		26000	15.8200%	1	0	37871	450	0	0	-13818	0	0	0		0	51239	0	0	51239	0	0	0	0	0	0	0	0	0	3834	0	450	0			
11640																																																																																				385730	0				12.8696%			49087		381419	-12217	0						0	0	0	0	5042	381419	0	0.0000%	59217	0	202	59419	15.4043%	0	0	0	0	1		44045		1	0	36870	0	0	0	-12217	0	0	0		0	49087	0	0	49087	0	0	0	0	0	0						0	0	0		
11837																																																																																						17347	1071	1071	10.0728%	19.3982%	18.2005%	16276	89426	161583	-5083	0			11.3982%			0				4276	161583								0	0	0		0		12000	18.2005%	1	0	11193	0	0	0	-5083	0	0	0		0	16276	0	0	16276	0	0	0	0	0	0	0	0	0	1071	0	0	0			
12030																																																																																						105948	5403	5403	16.9471%	24.9367%	23.6651%	100545	424867	593287	-641	0			16.9367%			0				99945	593287								0	0	0		0		600	23.6651%	1	0	99904	0	0	0	-641	0	0	0		0	100545	0	0	100545	0	0	0	0	0	0	0	0	0	5403	0	0	0			
12142																																																																																				318417	0				10.9329%			34798		318288	-16446	0						0	0	0	0	10598	318288	0	0.0000%	2187	0	321	2508	0.7876%	0	0	0	0	1		24200		1	0	18352	0	0	0	-9573	0	-767	-6106		0	34798	0	0	34798	0	0	0	0	0	0						0	0	22475		
12311			17954333	1745078	2378968	8.0859%	12.8998%	11.1906%	15575365	139182841	192624864	-2890683	0			4.8998%						3177828	197986960								0	0	0		16548268	10.3202%	0	16835413	5219334	106935	35827	-2800481	155957	-192436	-53723		0	14364000	0	0	14364000	780000	0	431365	1211365	0	1211365	633890	0	0	2378968	0	5362096	0																																						2																	0				1																															
12647																																																																																				200342	0				10.8260%			22435		207232	0	0						0	0	0	0	4629	207393	0	0.0000%	23183	0	910	24093	12.0259%	0	0	0	0	1		17967		1	0	22596	0	161	0	0	0	0	0		0	22435	0	0	22435	0	0	0	0	0	0						161	0	0		
12946																																																																																						284803	30130	30130	8.6363%	11.8222%	10.5715%	254673	2409057	2948868	-73166	0			3.8222%			0				192439	2981818								0	0	0		0		95184	10.5715%	1	0	214457	24548	8402	0	-73166	0	0	0		0	254673	0	0	254673	0	0	0	0	0	0	0	0	0	30130	0	32950	0			
13103																																																																																						452636	23822	23822	13.5251%	18.7881%	17.7993%	428814	2409168	3170508	-35810	-14169			10.7881%			0				412236	3174280								0	0	0		0		34519	17.7993%	1	0	410945	14250	3691	0	-49979	0	14169	0		0	428814	0	0	428814	0	0	0	0	0	0	0	0	0	23822	0	17941	0			
13251																																																																																						8667	691	691	12.7706%	15.6863%	14.4357%	7976	55252	62456	-268	0			7.6863%			0				3976	62456								0	0	0		0		4000	14.4357%	1	0	7708	0	0	0	-268	0	0	0		0	7976	0	0	7976	0	0	0	0	0	0	0	0	0	691	0	0	0			
13457																																																																																				58270	0				26.5199%			13789		51995	-24	0						0	0	0	0	-86	52620	0	0.0000%	10814	0	0	10814	18.5584%	0	0	0	0	1		14500		1	0	14390	0	625	0	-24	0	0	0		0	13789	0	0	13789	0	0	0	0	0	0						625	0	0		
14155																																																																																				389444	0				10.3843%			39396		379379	-1036	0						0	0	0	0	39060	379379	0	0.0000%	2692	0	824	3516	0.9028%	0	0	0	0	1		336		1	0	38360	0	0	0	-1036	0	0	0		0	39396	0	0	39396	0	0	0	0	0	0						0	0	16139		
14650																																																																																				89685	0				10.4511%			9518		91072	0	0						0	0	0	0	6178	91072	0	0.0000%	15288	0	0	15288	17.0463%	0	0	0	0	1		3340		1	0	9518	0	0	0	0	0	0	0		0	9518	0	0	9518	0	0	0	0	0	0						0	0	0		
14753																																																																																				57277	0				10.6771%			6082		56963	-708	0						0	0	0	0	4505	56963	0	0.0000%	6773	0	0	6773	11.8250%	0	0	0	0	1		1577		1	0	5374	0	0	0	-708	0	0	0		0	6082	0	0	6082	0	0	0	0	0	0						0	0	0		
14865																																																																																				852716	0				10.4101%			87232		837954	-5246	0						0	500	0	0	71553	838914	0	0.0000%	14728	0	3895	18623	2.1840%	0	0	0	0	1		16639		1	0	82946	0	740	220	-5246	0	0	0		0	87232	0	0	87232	0	0	0	0	0	0						960	0	164982		
14977																																																																																				58003	0				19.6419%			11210		57072	-11	0						0	0	0	0	11207	57072	0	0.0000%	8733	0	0	8733	15.0561%	0	0	0	0	1		0		1	0	11196	0	0	0	-14	0	0	0		0	11210	0	0	11210	0	0	0	0	0	0						0	0	0		
16551																																																																																				449136	0				9.9164%			44036		444073	-6128	0						0	0	0	0	26469	446506	0	0.0000%	36796	0	58	36854	8.2055%	0	0	0	0	1		20000		1	0	40341	2433	0	0	-6128	0	0	0		0	44036	0	0	44036	0	0	0	0	0	0						2433	0	0		
17110																																																																																				174457	0				20.6029%			34825		169030	0	0						0	0	0	0	27539	169030	0	0.0000%	0	0	2318	2318	1.3287%	0	0	0	0	1		7286		0	0	34825	0	0	0					0	0	34825	0	0	34825	0	0	0	0	0	0						0	0	121840		
17147																																																																																						1908231	189867	189867	9.6445%	12.5749%	11.3237%	1718364	15174924	17817020	-210112	0			4.5749%			0				754774	18545178								0	0	0		0		1691748	11.3237%	1	0	2236410	709818	18055	285	-209663	0	-449	0		0	1718364	0	0	1718364	0	0	0	0	0	0	0	0	0	189867	0	728158	0			
